"idVotacao";"uriVotacao";"dataHoraVoto";"voto";"deputado_id";"deputado_uri";"deputado_nome";"deputado_siglaPartido";"deputado_uriPartido";"deputado_siglaUf";"deputado_idLegislatura";"deputado_urlFoto"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Sim";"178951";"https://dadosabertos.camara.leg.br/api/v2/deputados/178951";"Rafael Motta";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"RN";"56";"https://www.camara.leg.br/internet/deputado/bandep/178951.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Não";"73466";"https://dadosabertos.camara.leg.br/api/v2/deputados/73466";"Rubens Bueno";"CIDADANIA";"https://dadosabertos.camara.leg.br/api/v2/partidos/37905";"PR";"56";"https://www.camara.leg.br/internet/deputado/bandep/73466.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Sim";"73604";"https://dadosabertos.camara.leg.br/api/v2/deputados/73604";"Rui Falcão";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"SP";"56";"https://www.camara.leg.br/internet/deputado/bandep/73604.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Não";"178990";"https://dadosabertos.camara.leg.br/api/v2/deputados/178990";"Samuel Moreira";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"SP";"56";"https://www.camara.leg.br/internet/deputado/bandep/178990.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Não";"204438";"https://dadosabertos.camara.leg.br/api/v2/deputados/204438";"Sergio Toledo";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"AL";"56";"https://www.camara.leg.br/internet/deputado/bandep/204438.jpg"
"105464-262";"https://dadosabertos.camara.leg.br/api/v2/votacoes/105464-262";"2021-12-15T11:24:29";"Não";"204425";"https://dadosabertos.camara.leg.br/api/v2/deputados/204425";"Silvio Costa Filho";"REPUBLICANOS";"https://dadosabertos.camara.leg.br/api/v2/partidos/37908";"PE";"56";"https://www.camara.leg.br/internet/deputado/bandep/204425.jpg"
"1301128-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1301128-43";"2021-11-30T17:29:00";"Sim";"204554";"https://dadosabertos.camara.leg.br/api/v2/deputados/204554";"Abílio Santana";"PL";"https://dadosabertos.camara.leg.br/api/v2/partidos/37906";"BA";"56";"https://www.camara.leg.br/internet/deputado/bandep/204554.jpg"
"1301128-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1301128-43";"2021-11-30T17:44:08";"Sim";"204521";"https://dadosabertos.camara.leg.br/api/v2/deputados/204521";"Abou Anni";"PSL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36837";"SP";"56";"https://www.camara.leg.br/internet/deputado/bandep/204521.jpg"
"1301128-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1301128-43";"2021-11-30T17:31:22";"Sim";"204379";"https://dadosabertos.camara.leg.br/api/v2/deputados/204379";"Acácio Favacho";"PROS";"https://dadosabertos.camara.leg.br/api/v2/partidos/36763";"AP";"56";"https://www.camara.leg.br/internet/deputado/bandep/204379.jpg"
"1301128-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1301128-43";"2021-11-30T17:29:30";"Não";"204528";"https://dadosabertos.camara.leg.br/api/v2/deputados/204528";"Adriana Ventura";"NOVO";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";"SP";"56";"https://www.camara.leg.br/internet/deputado/bandep/204528.jpg"
"1301128-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1301128-43";"2021-11-30T17:32:36";"Sim";"121948";"https://dadosabertos.camara.leg.br/api/v2/deputados/121948";"Adriano do Baldy";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"GO";"56";"https://www.camara.leg.br/internet/deputado/bandep/121948.jpg"
"1301128-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1301128-43";"2021-11-30T17:30:37";"Sim";"74646";"https://dadosabertos.camara.leg.br/api/v2/deputados/74646";"Aécio Neves";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"MG";"56";"https://www.camara.leg.br/internet/deputado/bandep/74646.jpg"
"1301128-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1301128-43";"2021-11-30T17:35:30";"Sim";"136811";"https://dadosabertos.camara.leg.br/api/v2/deputados/136811";"Afonso Hamm";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"RS";"56";"https://www.camara.leg.br/internet/deputado/bandep/136811.jpg"
"1301128-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1301128-43";"2021-11-30T17:29:58";"Sim";"178835";"https://dadosabertos.camara.leg.br/api/v2/deputados/178835";"Afonso Motta";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"RS";"56";"https://www.camara.leg.br/internet/deputado/bandep/178835.jpg"
"1301128-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1301128-43";"2021-11-30T17:30:00";"Sim";"160527";"https://dadosabertos.camara.leg.br/api/v2/deputados/160527";"Aguinaldo Ribeiro";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"PB";"56";"https://www.camara.leg.br/internet/deputado/bandep/160527.jpg"
"1301128-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1301128-43";"2021-11-30T17:28:36";"Sim";"204495";"https://dadosabertos.camara.leg.br/api/v2/deputados/204495";"Airton Faleiro";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"PA";"56";"https://www.camara.leg.br/internet/deputado/bandep/204495.jpg"
"1301128-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1301128-43";"2021-11-30T17:28:27";"Sim";"178836";"https://dadosabertos.camara.leg.br/api/v2/deputados/178836";"Alan Rick";"DEM";"https://dadosabertos.camara.leg.br/api/v2/partidos/36769";"AC";"56";"https://www.camara.leg.br/internet/deputado/bandep/178836.jpg"
"1301128-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1301128-43";"2021-11-30T17:30:11";"Sim";"160559";"https://dadosabertos.camara.leg.br/api/v2/deputados/160559";"Alceu Moreira";"MDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36899";"RS";"56";"https://www.camara.leg.br/internet/deputado/bandep/160559.jpg"
"1301128-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1301128-43";"2021-11-30T17:35:01";"Sim";"204413";"https://dadosabertos.camara.leg.br/api/v2/deputados/204413";"Alcides Rodrigues";"PATRIOTA";"https://dadosabertos.camara.leg.br/api/v2/partidos/37907";"GO";"56";"https://www.camara.leg.br/internet/deputado/bandep/204413.jpg"
"1301128-43";"https://dadosabertos.camara.leg.br/api/v2/votacoes/1301128-43";"2021-11-30T17:29:02";"Sim";"204545";"https://dadosabertos.camara.leg.br/api/v2/deputados/204545";"Alê Silva";"PSL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36837";"MG";"56";"https://www.camara.leg.br/internet/deputado/bandep/204545.jpg"
