"idVotacao";"uriVotacao";"siglaOrgao";"descricao";"siglaBancada";"uriBancada";"orientacao"
"2080470-78";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-78";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 200, de 2016. Sim: 393; não: 37; abstenção: 4; total: 434.";"PTB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36845";"Sim"
"2080470-78";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-78";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 200, de 2016. Sim: 393; não: 37; abstenção: 4; total: 434.";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"Sim"
"2080470-78";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-78";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 200, de 2016. Sim: 393; não: 37; abstenção: 4; total: 434.";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"Sim"
"2080470-78";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-78";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 200, de 2016. Sim: 393; não: 37; abstenção: 4; total: 434.";"Maioria";"";"Sim"
"2080470-78";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-78";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 200, de 2016. Sim: 393; não: 37; abstenção: 4; total: 434.";"PV";"https://dadosabertos.camara.leg.br/api/v2/partidos/36851";"Sim"
"2080470-78";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-78";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 200, de 2016. Sim: 393; não: 37; abstenção: 4; total: 434.";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"Sim"
"2080470-78";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-78";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 200, de 2016. Sim: 393; não: 37; abstenção: 4; total: 434.";"Cidadania";"https://dadosabertos.camara.leg.br/api/v2/partidos/37905";"Não"
"2080470-78";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-78";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 200, de 2016. Sim: 393; não: 37; abstenção: 4; total: 434.";"Avante";"https://dadosabertos.camara.leg.br/api/v2/partidos/36898";"Sim"
"2080470-78";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-78";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 200, de 2016. Sim: 393; não: 37; abstenção: 4; total: 434.";"Oposição";"";"Sim"
"2080470-78";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-78";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 200, de 2016. Sim: 393; não: 37; abstenção: 4; total: 434.";"PSOL";"https://dadosabertos.camara.leg.br/api/v2/partidos/36839";"Não"
"2080470-78";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-78";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 200, de 2016. Sim: 393; não: 37; abstenção: 4; total: 434.";"Minoria";"";"Sim"
